21:09:15.266817 IP 10.0.0.1.41644 > 10.0.0.3.5001: Flags [P.], seq 1259289:1278113, ack 1, win 83, options [nop,nop,TS val 4187287533 ecr 273769432], length 18824
21:09:15.266957 IP 10.0.0.1.41644 > 10.0.0.3.5001: Flags [P.], seq 1278113:1308521, ack 1, win 83, options [nop,nop,TS val 4187287533 ecr 273769432], length 30408
21:09:15.267045 IP 10.0.0.1.41644 > 10.0.0.3.5001: Flags [P.], seq 1308521:1310721, ack 1, win 83, options [nop,nop,TS val 4187287533 ecr 273769432], length 2200
21:09:16.266664 IP 10.0.0.1.41644 > 10.0.0.3.5001: Flags [P.], seq 1310721:1317961, ack 1, win 83, options [nop,nop,TS val 4187288533 ecr 273769433], length 7240
21:09:16.268255 IP 10.0.0.1.41644 > 10.0.0.3.5001: Flags [P.], seq 1317961:1325201, ack 1, win 83, options [nop,nop,TS val 4187288534 ecr 273769433], length 7240
21:09:16.268763 IP 10.0.0.1.41644 > 10.0.0.3.5001: Flags [P.], seq 1325201:1335337, ack 1, win 83, options [nop,nop,TS val 4187288535 ecr 273770433], length 10136
21:09:16.268924 IP 10.0.0.1.41644 > 10.0.0.3.5001: Flags [P.], seq 1335337:1349817, ack 1, win 83, options [nop,nop,TS val 4187288535 ecr 273770434], length 14480
21:09:16.269158 IP 10.0.0.1.41644 > 10.0.0.3.5001: Flags [P.], seq 1349817:1354161, ack 1, win 83, options [nop,nop,TS val 4187288535 ecr 273770434], length 4344
21:09:16.269313 IP 10.0.0.1.41644 > 10.0.0.3.5001: Flags [P.], seq 1354161:1380225, ack 1, win 83, options [nop,nop,TS val 4187288536 ecr 273770434], length 26064
21:09:16.269449 IP 10.0.0.1.41644 > 10.0.0.3.5001: Flags [P.], seq 1380225:1390361, ack 1, win 83, options [nop,nop,TS val 4187288536 ecr 273770434], length 10136
21:09:16.269610 IP 10.0.0.1.41644 > 10.0.0.3.5001: Flags [P.], seq 1390361:1409185, ack 1, win 83, options [nop,nop,TS val 4187288536 ecr 273770435], length 18824
21:09:16.269788 IP 10.0.0.1.41644 > 10.0.0.3.5001: Flags [P.], seq 1409185:1441041, ack 1, win 83, options [nop,nop,TS val 4187288536 ecr 273770435], length 31856
21:09:16.269911 IP 10.0.0.1.41644 > 10.0.0.3.5001: Flags [P.], seq 1441041:1441793, ack 1, win 83, options [nop,nop,TS val 4187288536 ecr 273770435], length 752
21:09:17.265965 IP 10.0.0.1.41644 > 10.0.0.3.5001: Flags [P.], seq 1441793:1449033, ack 1, win 83, options [nop,nop,TS val 4187289532 ecr 273770435], length 7240
21:09:17.266136 IP 10.0.0.1.41644 > 10.0.0.3.5001: Flags [P.], seq 1449033:1456273, ack 1, win 83, options [nop,nop,TS val 4187289533 ecr 273770435], length 7240
21:09:17.266305 IP 10.0.0.1.41644 > 10.0.0.3.5001: Flags [P.], seq 1456273:1466409, ack 1, win 83, options [nop,nop,TS val 4187289533 ecr 273771431], length 10136
